user_id,total_watch_time_mins,avg_session_duration_mins,number_of_sessions,viewing_frequency_per_week,completion_rate,weekend_viewing_ratio,genre_action_ratio,genre_comedy_ratio,genre_drama_ratio,genre_thriller_ratio,genre_scifi_ratio,genre_romance_ratio,genre_horror_ratio,genre_animation_ratio,top_genre
USR-1000,3398.7,117.8,31,9.0,0.9,0.64,0.448,0.05,0.017,0.385,0.075,0.003,0.012,0.01,Action
USR-1001,3144.7,133.0,21,9.0,0.94,0.44,0.402,0.083,0.013,0.41,0.056,0.025,0.008,0.004,Thriller
USR-1002,3459.1,108.4,23,9.0,0.86,0.38,0.457,0.006,0.066,0.3,0.117,0.01,0.021,0.023,Action
USR-1003,3809.2,116.0,33,12.6,0.75,0.3,0.491,0.055,0.027,0.255,0.153,0.016,0.0,0.003,Action
USR-1004,3106.3,120.4,30,10.1,0.88,0.27,0.544,0.034,0.043,0.335,0.038,0.004,0.002,0.0,Action
USR-1005,3106.3,104.0,29,10.1,0.8,0.29,0.389,0.058,0.015,0.347,0.137,0.014,0.021,0.018,Action
USR-1006,3831.7,113.4,30,11.0,0.81,0.48,0.418,0.053,0.016,0.353,0.14,0.014,0.004,0.002,Action
USR-1007,3507.0,110.2,31,9.9,0.9,0.5,0.354,0.026,0.052,0.341,0.208,0.0,0.019,0.001,Action
USR-1008,3012.2,111.5,27,9.1,0.95,0.29,0.394,0.041,0.003,0.387,0.123,0.028,0.025,0.0,Action
USR-1009,3417.0,98.4,26,9.2,0.85,0.54,0.517,0.003,0.023,0.246,0.175,0.024,0.006,0.005,Action
USR-1010,3014.6,110.4,30,9.4,0.87,0.4,0.469,0.046,0.027,0.291,0.138,0.005,0.015,0.008,Action
USR-1011,3013.7,117.5,25,9.4,0.99,0.46,0.526,0.054,0.038,0.29,0.077,0.0,0.0,0.015,Action
USR-1012,3296.8,131.8,32,10.6,0.87,0.61,0.397,0.049,0.025,0.312,0.169,0.013,0.016,0.018,Action
USR-1013,2434.7,124.4,21,9.6,1.0,0.54,0.461,0.061,0.038,0.244,0.158,0.011,0.012,0.015,Action
USR-1014,2510.0,142.3,35,10.6,0.9,0.42,0.401,0.05,0.046,0.288,0.178,0.014,0.015,0.008,Action
USR-1015,2975.1,98.5,32,9.4,0.71,0.36,0.468,0.033,0.034,0.214,0.233,0.009,0.003,0.006,Action
USR-1016,2794.9,123.1,31,9.6,0.91,0.23,0.397,0.028,0.013,0.443,0.082,0.019,0.0,0.019,Thriller
